paste.unique.c.as.character.genesInBoth.gene.....collapse.......,path,chi2.statistic,chi2.p.value,fish.p.value,hyperGeom,chi2_weighted.statistic,chi2_weighted.p.value,fish_weighted.p.value,hyperGeom_Weighted
HYAL1 HYAL2 HYAL3,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,39977804.8051536,0,2.64887235116017e-06,2.64887235116017e-06,51736343.8969744,0,1.41665132261132e-09,7.31258647036175e-10
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,63318944.2480492,0,6.01395167446066e-07,6.01395167446067e-07,82690418.7684243,0,1.80919093057947e-10,1.47890761315625e-10
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_METABOLISM,47480313.8862742,0,1.53082406258999e-06,1.53082406258999e-06,63092087.3240342,0,6.65197473465581e-10,4.07779069358246e-10
HYAL1 HYAL2 HYAL3,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,7003816.86426397,8.253191844393e-123,0.00055808378093236,0.00055808378093236,8417151.0451556,5.18531388212271e-148,2.35331515401197e-06,2.03769011016044e-07
HYAL1 HYAL2 HYAL3,REACTOME_METABOLISM_OF_CARBOHYDRATES,2877282.38126516,3.75658174037471e-49,0.00800754931840041,0.0080075493184004,3454176.88551699,1.83979337870768e-59,8.15417956398717e-05,2.95362858220683e-06
HYAL1 HYAL2 HYAL3,NABA_ECM_REGULATORS,3533697.98288817,6.98425432931845e-61,0.00434094139260005,0.00434094139260005,4301259.67474185,1.36944519146014e-74,3.40831813401058e-05,1.53955394017577e-06
HYAL1 HYAL2 HYAL3,NABA_MATRISOME_ASSOCIATED,1084113.00272425,5.1074345891757e-17,0.141995355579789,0.141995355579788,1331810.1857066,1.79700510843281e-21,0.00346240994310553,4.84460266836256e-05
HYAL1 HYAL2 HYAL3,NABA_MATRISOME,788131.635678552,1.10961431672436e-11,0.357090465980353,0.357090465980352,974898.237682907,4.73292628019602e-15,0.0115659703597104,0.000118895154366243
HYAL1 HYAL2 HYAL3,GO_CARTILAGE_DEVELOPMENT,4008333.93634726,2.32715880294695e-69,0.00297919138049432,0.00297919138049432,5125921.88694408,2.61166157633901e-89,1.68944830476441e-05,9.1150254832242e-07
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_UV,12226589.5066391,6.50432150185839e-216,0.000103385296512774,0.000103385296512774,14004211.0044544,1.36834089116908e-247,2.97691914698423e-07,4.48551447759906e-08
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,7722121.76011741,1.28017756787108e-135,0.000415771815399439,0.00041577181539944,9278866.10801393,2.25044710283343e-163,1.55339810827134e-06,1.53544820354669e-07
HYAL1 HYAL2 HYAL3,GO_HYALURONAN_CATABOLIC_PROCESS,54268298.3173129,0,9.95035640683488e-07,9.9503564068349e-07,70809985.8322483,0,3.6585861040607e-10,2.56331129224227e-10
HYAL1 HYAL2 HYAL3,GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,4806811.05819091,1.29432289488372e-83,0.00172958516543092,0.00172958516543091,5921026.35288258,1.6991543462483e-103,9.61040760351348e-06,5.8700909286362e-07
HYAL1 HYAL2 HYAL3,GO_SKELETAL_SYSTEM_DEVELOPMENT,1610009.79321288,1.82446861894419e-26,0.0446361507230143,0.0446361507230144,2028367.78488849,5.80053029753438e-34,0.000673007891427746,1.41903587201117e-05
HYAL1 HYAL2 HYAL3,GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,659391.204361456,2.36971215486886e-09,0.594902953531079,0.594902953531079,830429.678172646,1.91026208666936e-12,0.021378674671044,0.000187193136269004
HYAL1 HYAL2 HYAL3,GO_DEFENSE_RESPONSE,480250.828137106,4.26693786745951e-06,1.45610952620763,1.45610952620763,600581.377739895,2.76231051432273e-08,0.0725830966263862,0.000464557054084711
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_INTERLEUKIN_1,4164727.83704138,3.75172512721844e-72,0.00265699118592069,0.0026569911859207,5100604.95176851,7.39116302572689e-89,1.72678417890285e-05,9.26503979146383e-07
HYAL1 HYAL2 HYAL3,GO_INTERACTION_WITH_HOST,4164727.83704138,3.75172512721844e-72,0.00265699118592069,0.0026569911859207,5169228.76165707,4.406481000186e-90,1.65250019352004e-05,8.81986486380008e-07
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_UV,6633322.78900919,3.34511411842714e-116,0.000657335852476141,0.00065733585247614,7961632.5081207,6.86386248336446e-140,2.90267793406485e-06,2.44761351890992e-07
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_RADIATION,1981024.38187729,4.08701161951238e-33,0.0242184567544928,0.0242184567544928,2412049.44721377,7.8603208753656e-41,0.000339827629560828,8.51040753550478e-06
HYAL1 HYAL2 HYAL3,GO_INFLAMMATORY_RESPONSE,1139489.54944134,5.14900423090639e-18,0.122823796136045,0.122823796136045,1419228.8798717,4.83765612682629e-23,0.00271007936365245,4.01812197827458e-05
HYAL1 HYAL2 HYAL3,GO_VIRAL_LIFE_CYCLE,2622663.35262647,1.34216230906372e-44,0.0105466670515017,0.0105466670515017,3259443.78125988,5.54852706776078e-56,0.000102615108675361,3.50686380036126e-06
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_ABIOTIC_STIMULUS,687134.053490635,7.44954257709323e-10,0.528924589515857,0.528924589515858,864234.887712072,4.68615179380637e-13,0.0183375439967966,0.00016746905613429
HYAL1 HYAL2 HYAL3,GO_CARBOHYDRATE_METABOLIC_PROCESS,1497209.67997015,1.92703034066833e-24,0.0552585935656143,0.0552585935656143,1842161.94014203,1.25662481145084e-30,0.000978727019811054,1.87760959866981e-05
HYAL1 HYAL2 HYAL3,GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,906524.70664801,8.08743391236693e-14,0.238556063470214,0.238556063470214,1138338.80124836,5.40039266347527e-18,0.00637926256236354,7.6091915594144e-05
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_RADIATION,4901143.10803884,2.68175197926134e-85,0.00163170536831467,0.00163170536831467,5970540.80118236,2.22284752025241e-104,9.37014741342558e-06,5.75947946517304e-07
