paste.unique.c.as.character.genesInBoth.gene.....collapse.......,path,chi2.statistic,chi2.p.value,fish.p.value,hyperGeom,chi2_weighted.statistic,chi2_weighted.p.value,fish_weighted.p.value,hyperGeom_Weighted
HYAL1 HYAL2 HYAL3,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,40389020.0058128,0,2.56968729280924e-06,2.56968729280924e-06,39018891.2166768,0,2.56968729280924e-06,1.12300363384669e-06
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,63970036.6691394,0,5.83417135622324e-07,5.83417135622324e-07,66537273.9773485,0,4.37562851716744e-07,3.61263771080449e-07
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_METABOLISM,47968632.4794707,0,1.48506179976592e-06,1.48506179976592e-06,49574083.3612625,0,1.20661271230981e-06,6.89624507985863e-07
HYAL1 HYAL2 HYAL3,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,7076157.8692126,4.33379647201498e-124,0.000541400494273233,0.000541400494273233,6855945.00678729,3.66362547757781e-120,0.000541400494273233,3.78711694961922e-05
HYAL1 HYAL2 HYAL3,REACTOME_METABOLISM_OF_CARBOHYDRATES,2907214.82633188,1.10653016542455e-49,0.00776817264185055,0.00776817264185055,2796967.3378124,1.03490270758245e-47,0.00785815147553996,0.000223337432224307
HYAL1 HYAL2 HYAL3,NABA_ECM_REGULATORS,3487671.34332529,4.69373671610685e-60,0.00451622143926814,0.00451622143926814,3270207.03014478,3.60306111783834e-56,0.00496703861601606,0.000163282118772088
HYAL1 HYAL2 HYAL3,NABA_MATRISOME_ASSOCIATED,1080819.6965098,5.87640460681737e-17,0.143309354714491,0.143309354714491,1026860.38808706,5.50256965818313e-16,0.150304030266037,0.00157804977479871
HYAL1 HYAL2 HYAL3,NABA_MATRISOME,787674.726406316,1.13404786554977e-11,0.357810010378156,0.357810010378156,751071.219739128,5.20320346099548e-11,0.370629376757472,0.00286339461716872
HYAL1 HYAL2 HYAL3,GO_CARTILAGE_DEVELOPMENT,3985720.76139483,5.97733483516925e-69,0.00303147521513466,0.00303147521513467,3732167.36559203,2.01565774013464e-64,0.00332783786055045,0.000126289698672043
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_UV,12155967.2434786,1.22903530249539e-214,0.000105309444875901,0.000105309444875901,12078303.7095266,2.97515562422367e-213,9.54417395956704e-05,1.200696927428e-05
