paste.unique.c.as.character.genesInBoth.gene.....collapse.......,path,chi2.statistic,chi2.p.value,fish.p.value,hyperGeom,chi2_weighted.statistic,chi2_weighted.p.value,fish_weighted.p.value,hyperGeom_Weighted
HYAL1 HYAL2 HYAL3,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,39997470.8565458,0,2.65017539568808e-06,2.65017539568809e-06,51761794.258816,0,1.41734820774173e-09,7.31258647036175e-10
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,63350092.3718082,0,6.01691008308957e-07,6.01691008308957e-07,82731096.1901354,0,1.81008091545964e-10,1.47890761315625e-10
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_METABOLISM,47503670.6037717,0,1.53157711205916e-06,1.53157711205916e-06,63123123.8513724,0,6.65524700229604e-10,4.07779069358246e-10
HYAL1 HYAL2 HYAL3,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,7007262.21157771,8.25725178954888e-123,0.000558358315874198,0.000558358315874197,8421291.64581732,5.18786466373234e-148,2.35447280678921e-06,2.03769011016044e-07
HYAL1 HYAL2 HYAL3,REACTOME_METABOLISM_OF_CARBOHYDRATES,2878697.78622438,3.75842969400612e-49,0.00801148842604248,0.00801148842604247,3455876.07886889,1.84069841767401e-59,8.15819080260191e-05,2.95362858220683e-06
HYAL1 HYAL2 HYAL3,NABA_ECM_REGULATORS,3535436.29459575,6.98769005334698e-61,0.00434307680691141,0.0043430768069114,4303375.56865416,1.37011885475019e-74,3.40999476833083e-05,1.53955394017577e-06
HYAL1 HYAL2 HYAL3,NABA_MATRISOME_ASSOCIATED,1084646.30419316,5.10994706007305e-17,0.142065206537686,0.142065206537686,1332465.33542492,1.79788909881164e-21,0.00346411318649805,4.84460266836256e-05
HYAL1 HYAL2 HYAL3,NABA_MATRISOME,788519.336737343,1.11016016290787e-11,0.357266127437751,0.35726612743775,975377.813761131,4.73525452137673e-15,0.0115716599409319,0.000118895154366243
HYAL1 HYAL2 HYAL3,GO_CARTILAGE_DEVELOPMENT,4010305.73298726,2.32830358878098e-69,0.00298065691696091,0.00298065691696091,5128443.45219141,2.61294631598466e-89,1.69027938534394e-05,9.1150254832242e-07
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_UV,12232604.0624347,6.50752113529376e-216,0.000103436154246567,0.000103436154246567,14011100.0153609,1.36901401122705e-247,2.97838356568406e-07,4.48551447759906e-08
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,7725920.45902375,1.28080731825292e-135,0.000415976343635268,0.000415976343635268,9283430.6072062,2.2515541523224e-163,1.55416226246086e-06,1.53544820354669e-07
HYAL1 HYAL2 HYAL3,GO_HYALURONAN_CATABOLIC_PROCESS,54294994.2089177,0,9.95525122838452e-07,9.95525122838455e-07,70844818.9809729,0,3.66038585126283e-10,2.56331129224227e-10
HYAL1 HYAL2 HYAL3,GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,4809175.64508516,1.29495960369485e-83,0.00173043599030528,0.00173043599030527,5923939.04929296,1.69999020146495e-103,9.61513519600516e-06,5.8700909286362e-07
