paste.unique.c.as.character.genesInBoth.gene.....collapse.......,path,chi2.statistic,chi2.p.value,fish.p.value,hyperGeom,chi2_weighted.statistic,chi2_weighted.p.value,fish_weighted.p.value,hyperGeom_Weighted
HYAL1 HYAL2 HYAL3,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,40405575.5968956,0,2.57074061601502e-06,2.57074061601501e-06,39034885.1874985,0,2.57074061601502e-06,1.12300363384669e-06
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,63996258.1958934,0,5.83656280209807e-07,5.83656280209807e-07,66564547.8230517,0,4.37742210157355e-07,3.61263771080449e-07
HYAL1 HYAL2 HYAL3,REACTOME_HYALURONAN_METABOLISM,47988294.9784376,0,1.48567053144315e-06,1.48567053144315e-06,49594403.9397841,0,1.20710730679755e-06,6.89624507985863e-07
HYAL1 HYAL2 HYAL3,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,7079058.40941149,4.3355729093293e-124,0.000541622416102333,0.000541622416102334,6858755.28101536,3.66512720961486e-120,0.000541622416102333,3.78711694961922e-05
HYAL1 HYAL2 HYAL3,REACTOME_METABOLISM_OF_CARBOHYDRATES,2908406.50317495,1.10698373574978e-49,0.00777135684116267,0.00777135684116267,2798113.8238502,1.035326917579e-47,0.00786137255746959,0.000223337432224307
HYAL1 HYAL2 HYAL3,NABA_ECM_REGULATORS,3489100.9511886,4.69566069410165e-60,0.00451807265317176,0.00451807265317176,3271547.49867657,3.60453802434671e-56,0.00496907462135137,0.000163282118772088
HYAL1 HYAL2 HYAL3,NABA_MATRISOME_ASSOCIATED,1081262.72802993,5.87881336423942e-17,0.143368097686582,0.143368097686582,1027281.3015106,5.50482517943997e-16,0.15036564037846,0.00157804977479871
HYAL1 HYAL2 HYAL3,NABA_MATRISOME,787997.596846719,1.13451271547006e-11,0.357956677868883,0.357956677868883,751379.086282717,5.20533627107131e-11,0.370781298948305,0.00286339461716872
HYAL1 HYAL2 HYAL3,GO_CARTILAGE_DEVELOPMENT,3987354.52133966,5.97978496422121e-69,0.00303271782671653,0.00303271782671654,3733697.19317261,2.01648396481906e-64,0.00332920195214766,0.000126289698672043
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_UV,12160950.0141146,1.22953908807601e-214,0.000105352611560962,0.000105352611560962,12083254.6456266,2.97637515022147e-213,9.54808614761408e-05,1.200696927428e-05
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,7648230.16862763,3.10554264141121e-134,0.000428987365954209,0.000428987365954208,7572968.61898031,6.81593768454102e-133,0.00040350811633996,3.11598255762708e-05
HYAL1 HYAL2 HYAL3,GO_HYALURONAN_CATABOLIC_PROCESS,54848850.6334331,0,9.65685845438046e-07,9.65685845438046e-07,56017461.0359589,0,7.58753164272755e-07,5.12315101680366e-07
HYAL1 HYAL2 HYAL3,GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,4797002.47230749,2.13511015264873e-83,0.00174396231228382,0.00174396231228382,4668317.78112377,4.21875996568552e-81,0.00171105736299544,8.1204011129999e-05
HYAL1 HYAL2 HYAL3,GO_SKELETAL_SYSTEM_DEVELOPMENT,1602762.08008432,2.54380581292158e-26,0.0453230166268666,0.0453230166268665,1534198.80403028,4.31409724829217e-25,0.0464951098628177,0.000725746284821662
HYAL1 HYAL2 HYAL3,GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,662337.695662798,2.12528654033397e-09,0.588519596164655,0.588519596164655,642774.651808439,4.80640691360159e-09,0.580530747769621,0.00384709058149836
HYAL1 HYAL2 HYAL3,GO_DEFENSE_RESPONSE,479804.071992783,4.39317536924776e-06,1.46265480213326,1.46265480213325,464383.751324956,8.39350602006098e-06,1.45090662363739,0.00702071931348182
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_INTERLEUKIN_1,4186290.98956577,1.68339073087317e-72,0.0026218370703643,0.0026218370703643,4116513.48723942,2.96124919999802e-71,0.00249361574455147,0.000104253785227506
HYAL1 HYAL2 HYAL3,GO_INTERACTION_WITH_HOST,4163220.6386858,4.34415365390455e-72,0.00266553435487036,0.00266553435487036,3975822.60966766,9.60541653293154e-69,0.00275438010563375,0.000111365490667115
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_UV,6588393.13727738,2.41975228582377e-115,0.000672425094463534,0.000672425094463536,6440676.67212275,1.04046832546424e-112,0.000655034790296375,4.29572672332072e-05
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_RADIATION,1970637.38769829,6.53169792445817e-33,0.0246473563591177,0.0246473563591177,1892969.72747022,1.60588292557998e-31,0.0250365197958799,0.000481531592939938
HYAL1 HYAL2 HYAL3,GO_INFLAMMATORY_RESPONSE,1144737.43525684,4.24282045392666e-18,0.1214289595273,0.1214289595273,1104857.51580133,2.21229030028434e-17,0.1214289595273,0.00137009053375064
HYAL1 HYAL2 HYAL3,GO_VIRAL_LIFE_CYCLE,2641704.17205313,6.46699045739373e-45,0.0103437025119483,0.0103437025119483,2597326.36597394,4.0182032083281e-44,0.0098106253543848,0.000258691631025745
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_ABIOTIC_STIMULUS,685927.20460491,7.94888052455256e-10,0.53260805709314,0.532608057093141,665166.845834228,1.88877255832273e-09,0.526623749662656,0.0036080494588346
HYAL1 HYAL2 HYAL3,GO_CARBOHYDRATE_METABOLIC_PROCESS,1504265.62790395,1.48508258723108e-24,0.054609664555693,0.0546096645556929,1431024.89243254,3.05987756406895e-23,0.05694500863495,0.000830049447753976
HYAL1 HYAL2 HYAL3,GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,906077.508833593,8.39703385377412e-14,0.239362109764283,0.239362109764283,884604.321702341,2.04789267694798e-13,0.231519560121851,0.00209867161981556
HYAL1 HYAL2 HYAL3,GO_CELLULAR_RESPONSE_TO_RADIATION,4889936.84548301,4.69403554300286e-85,0.00164649436647186,0.00164649436647186,4729226.12078865,3.45578080243069e-82,0.00164649436647186,7.91582650616926e-05
HYAL1 HYAL2 HYAL3,GO_MACROMOLECULE_CATABOLIC_PROCESS,616169.369183859,1.45916349545576e-08,0.722801075541572,0.722801075541572,595348.394525983,3.48172588971993e-08,0.720961887054189,0.00443632820831947
HYAL1 HYAL2 HYAL3,GO_CONNECTIVE_TISSUE_DEVELOPMENT,3100666.73994006,4.06595097167321e-53,0.00642311083387801,0.00642311083387802,2929690.50277702,4.61138190237333e-50,0.00682612549536289,0.00020336429063828
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_BIOTIC_STIMULUS,848648.809468149,9.11786808301239e-13,0.289162406776301,0.289162406776301,829206.817482125,2.04527235371072e-12,0.27928300283526,0.00237524737075448
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_ANTIBIOTIC,2641704.17205313,6.46699045739373e-45,0.0103437025119483,0.0103437025119483,2605119.42576096,2.91550030448459e-44,0.00970625699955095,0.000256862640393834
HYAL1 HYAL2 HYAL3,GO_RESPONSE_TO_CYTOKINE,676566.451152899,1.1742538772022e-09,0.553909916877961,0.553909916877962,665308.218260382,1.87767061816464e-09,0.525134709842688,0.00360132958288801
