Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	ENSG00000000457	1	100000	169808771	169873408	3.17878898428593	0.0757392426075739	0.0757392426075739	rs17543611	0.0746000000000001
1	ENSG00000000460	5	100000	169621244	169833221	20.7341070630155	0.023289767102329	0.041749582504175	rs3917410	0.01477
1	ENSG00000000971	4	1000	196611007	196726634	0.497914254684862	0.919080919080919	0.861138861138861	rs16840422	0.5164
1	ENSG00000004455	1	1000	33463540	33556597	2.16048489207791	0.138861138861139	0.138861138861139	rs10429857	0.1416
1	ENSG00000004487	1	100000	23335935	23420182	4.67414169181833	0.030459695403046	0.030459695403046	rs10917347	0.0306200000000002
1	ENSG00000007341	3	1000000	113056139	113173447	52.5477585659973	1.999998000002e-6	2.7999972000028e-5	rs10745330	1.75400000000002e-5
1	ENSG00000007908	2	100000	169681781	169743846	11.7225639988441	0.016289837101629	0.016509834901651	rs3917410	0.01477
1	ENSG00000007933	3	1000	171050017	171096959	2.38409286746531	0.483516483516484	0.558441558441558	rs1800822	0.2596
1	ENSG00000008118	1	1000	209747061	209797283	6.34751707342567e-4	0.972027972027972	0.972027972027972	rs713073	0.9799
1	ENSG00000008130	2	1000000	1672670	1721896	19.8612430669706	4.31999568000432e-4	5.1999948000052e-5	rs2272908	2.72000000000002e-5
1	ENSG00000009307	3	1000	115249533	115311297	0.378971140912926	0.77022977022977	0.776223776223776	rs12120851	0.6447
1	ENSG00000009709	1	1000	18947499	19085360	1.05351037058036	0.308691308691309	0.308691308691309	rs2282701	0.304699999999999
1	ENSG00000009790	3	1000	209919376	209965665	3.99940861803232	0.247752247752248	0.230769230769231	rs669694	0.1175
1	ENSG00000010932	4	1000	171207609	171265117	1.28322956567461	0.792207792207792	0.783216783216783	rs10912694	0.3947
1	ENSG00000011021	15	100000	11856152	11913201	28.6271059429546	0.117668823311767	0.0533294667053329	rs13306560	0.001806
1	ENSG00000014914	1	1000	149890542	149918762	0.437152570094159	0.484515484515485	0.484515484515485	rs11205277	0.5085
1	ENSG00000020633	80	100000	25216001	25301612	303.565696550077	0.004329956700433	0.011029889701103	rs742230	0.00159
1	ENSG00000023909	2	1000	94340760	94385012	1.43242073403115	0.482517482517482	0.384615384615385	rs2391322	0.231699999999999
1	ENSG00000024526	3	1000	68929834	68972904	3.7877931985481	0.262737262737263	0.158841158841159	rs10889769	0.0678499999999997
1	ENSG00000026751	33	100000	160698846	160734611	200.063890153622	0.001119988800112	0.003609963900361	rs11265475	3.98200000000003e-4
1	ENSG00000027644	1	1000	156799854	156838810	0.665285902426719	0.401598401598402	0.401598401598402	rs16837711	0.4147
1	ENSG00000027869	2	100000	156766034	156796654	7.58617289097089	0.04349956500435	0.034379656203438	rs2768764	0.021329999999999998
1	ENSG00000028137	2	1000	12217059	12279285	0.401447014391955	0.806193806193806	0.825174825174825	rs976881	0.5976
1	ENSG00000031698	1	1000	109746539	109790791	1.45517119270488	0.238761238761239	0.238761238761239	rs4246519	0.2277
1	ENSG00000033122	5	1000	70024080	70627628	0.187755529257385	0.995004995004995	0.994005994005994	rs10789303	0.7658
1	ENSG00000035687	3	1000	244561795	244625436	3.84283589022783	0.253746253746254	0.245754245754246	rs3127460	0.229299999999999
1	ENSG00000042781	9	1000	215786235	216606738	7.1643153255532	0.486513486513487	0.394605394605395	rs17025427	0.08051
1	ENSG00000049245	44	1000000	7821328	7851492	140.763246654511	0.00825699174300826	5.15999484000516e-4	rs34177663	8.105e-5
1	ENSG00000049246	118	1000000	7834379	7915237	347.952122784416	0.013046986953013	7.50999249000751e-4	rs13306061	7.17200000000008e-6
1	ENSG00000049247	38	1000000	7893142	7923572	147.861242431016	0.00109399890600109	2.75999724000276e-4	rs13306061	7.17200000000008e-6
1	ENSG00000049249	20	1000000	7965953	8013225	259.142471548875	5.999994000006e-6	9.99999000001e-7	rs7545687	3.44400000000893e-13
1	ENSG00000050628	4	100000	71308035	71523491	12.5340935014903	0.033769662303377	0.104028959710403	rs3765894	0.0367099999999998
1	ENSG00000053371	1	1000	19620458	19648640	1.65854418314834	0.191808191808192	0.191808191808192	rs12407355	0.197800000000001
1	ENSG00000054118	1	100000	36680016	36780958	5.43739890613953	0.020159798402016	0.020159798402016	rs6693113	0.01971
1	ENSG00000054282	18	1000	243409335	243673394	30.2183220435087	0.173826173826174	0.20979020979021	rs6703335	0.04278
1	ENSG00000054392	17	1000	210491595	210859638	12.4491830638081	0.552447552447552	0.837162837162837	rs12126038	0.196000000000001
1	ENSG00000054523	1	1000	10260862	10451661	0.465208027320174	0.493506493506494	0.493506493506494	rs10492972	0.4952
1	ENSG00000055732	1	1000	85473764	85524182	0.064447342996559	0.787212787212787	0.787212787212787	rs4907126	0.7996
1	ENSG00000058085	1	1000	183145372	183224035	2.03576585393599e-5	0.998001998001998	0.998001998001998	rs577344	0.9964
1	ENSG00000058668	4	1000	203585688	203723209	0.823964756480235	0.875124875124875	0.846153846153846	rs10494845	0.4501
1	ENSG00000058804	1	1000	54221132	54314533	0.834411471470052	0.354645354645355	0.354645354645355	rs1183394	0.361
1	ENSG00000060656	2	1000	29553027	29663325	0.371034476821422	0.829170829170829	0.861138861138861	rs7518159	0.6246
1	ENSG00000060718	4	1000	103332022	103584428	1.17532364562516	0.785214785214785	0.813186813186813	rs11164623	0.4425
1	ENSG00000064886	1	1000	111733392	111796062	1.87415464883747	0.181818181818182	0.181818181818182	rs630505	0.171
1	ENSG00000065135	1	1000	110081232	110170943	0.867313934311542	0.373626373626374	0.373626373626374	rs2301229	0.3517
1	ENSG00000065526	1	100000	16164358	16276955	5.31356616592491	0.021009789902101	0.021009789902101	rs904910	0.0211599999999999
1	ENSG00000065600	1	1000	212527272	212598243	2.09584532747261	0.143856143856144	0.143856143856144	rs12060029	0.1477
1	ENSG00000066056	1	1000	43756663	43798779	1.51485334522848	0.238761238761239	0.238761238761239	rs11210831	0.218400000000001
1	ENSG00000066294	2	100000	160500884	160559306	8.3161023323873	0.017919820801792	0.00896991030089699	rs1503855	0.00429799999999998
1	ENSG00000066557	1	1000	70600487	70681303	0.0177541030723553	0.896103896103896	0.896103896103896	rs3767214	0.894
1	ENSG00000067208	253	1000	92964252	93267961	366.25499300002	0.227772227772228	0.151848151848152	rs61800525	0.001673
1	ENSG00000067334	2	1000	94321838	94355474	1.43242073403115	0.43956043956044	0.376623376623377	rs2391322	0.231699999999999
1	ENSG00000069275	6	1000000	205671946	205729404	53.5086570826714	2.65999734000266e-4	5.41999458000542e-4	rs823118	1.19699999999998e-4
1	ENSG00000069424	2	100000	6041525	6171253	4.73692751010678	0.0924390756092439	0.0999990000099999	rs2227911	0.0525000000000001
1	ENSG00000069702	71	1000000	92135899	92381892	246.01263102696	1.43999856000144e-4	8.43999156000844e-4	rs3738441	2.93300000000006e-5
1	ENSG00000069812	1	1000	6462477	6494730	1.56455174408916	0.220779220779221	0.220779220779221	rs2103673	0.211
1	ENSG00000070886	1	1000	22880056	22940087	0.036493479793629	0.843156843156843	0.843156843156843	rs11580191	0.8485
1	ENSG00000072694	9	1000000	161622936	161658444	76.5125041961668	1.08999891000109e-4	4.21999578000422e-4	rs12121292	6.24499999999987e-5
1	ENSG00000073754	3	1000	157790703	157878046	0.993053768097599	0.75024975024975	0.828171828171828	rs3811023	0.4831
1	ENSG00000073756	3	100000	186630922	186659559	19.5119943626294	4.39995600044e-4	0.00631993680063199	rs20417	0.002182
1	ENSG00000074964	4	100000	17856329	18034369	9.78535676793758	0.0491995080049199	0.028389716102839	rs1408953	0.00720900000000001
1	ENSG00000075391	2	1000	178053275	178463282	0.0795013013005519	0.854145854145854	0.848151848151848	rs871101	0.8131
1	ENSG00000075945	3	1000	169880466	170064349	5.28312751717028	0.164835164835165	0.272727272727273	rs6427233	0.102600000000001
1	ENSG00000076356	5	1000	208185586	208427665	7.17144149438432	0.232767232767233	0.204795204795205	rs2785653	0.05924
1	ENSG00000076864	3	1000000	21912707	22005856	23.1211774482563	6.47999352000648e-4	5.86999413000587e-4	rs829418	2.13299999999996e-4
1	ENSG00000077157	1	1000	202307826	202571834	0.567635596449103	0.458541458541459	0.458541458541459	rs17440089	0.4512
1	ENSG00000077522	1	100000	236839753	236937931	4.97743705348533	0.025519744802552	0.025519744802552	rs6428966	0.02568
1	ENSG00000077549	3	1000	19655269	19822033	2.20154014548888	0.480519480519481	0.472527472527473	rs191942	0.253200000000001
1	ENSG00000078369	3	1000000	1706723	1832556	45.3606934206411	2.4999975000025e-5	2.7999972000028e-5	rs9660180	1.60799999999998e-5
1	ENSG00000078618	1	1000	52244862	52354609	0.265303157430944	0.602397602397602	0.602397602397602	rs2982846	0.6065
