SNP_1,SNP_2,pvalue_uncorrected_MT,pvalue_corrected_MT,gene1,gene2
rs10076701,rs10060025,1.232e-08,0.00996763754045308,SLC22A5,SLC22A4
rs11130186,rs1060962,5.532e-10,0.000447572815533981,IP6K2,IP6K1
rs11130218,rs1060962,1.059e-09,0.000856796116504854,IP6K2,IP6K1
rs11130218,rs1060962,1.059e-09,0.000856796116504854,MST1R,MST1
rs11130228,rs1060962,3.261e-08,0.0263834951456311,MST1R,MST1
rs11130228,rs1060962,3.261e-08,0.0263834951456311,HYAL3,HYAL1
rs11957350,rs10076701,2.103e-08,0.0170145631067961,SLC22A5,SLC22A4
rs11957350,rs11950562,1.412e-10,0.000114239482200647,SLC22A5,SLC22A4
rs12488468,rs1005678,1.339e-12,1.08333333333333e-06,MST1R,MST1
rs12488468,rs1005678,1.339e-12,1.08333333333333e-06,SPAM1,HYAL3
rs12488468,rs1005678,1.339e-12,1.08333333333333e-06,HYAL3,HYAL1
rs12488468,rs11130218,5.212e-10,0.00042168284789644,MST1R,MST1
rs12488468,rs11130228,3.093e-09,0.00250242718446602,MST1R,MST1
rs12488468,rs11130228,3.093e-09,0.00250242718446602,HYAL3,HYAL1
rs12488468,rs11712056,6.544e-10,0.000529449838187702,MST1R,MST1
rs12488468,rs11714286,2.20300000000001e-10,0.000178236245954693,MST1R,MST1
rs12521097,rs11957350,7.277e-10,0.000588754045307443,SLC22A5,SLC22A4
rs13100903,rs12488468,9.829e-10,0.000795226537216829,MST1R,MST1
rs162889,rs11242110,6.496e-09,0.00525566343042071,SLC22A5,SLC22A4
rs162899,rs10076701,3.99600000000001e-12,3.23300970873787e-06,SLC22A5,SLC22A4
rs162899,rs12521097,1.772e-12,1.4336569579288e-06,SLC22A5,SLC22A4
rs1859085,rs11950562,3.669e-10,0.000296844660194175,SLC22A5,SLC22A4
rs1859085,rs12521097,8.024e-10,0.000649190938511327,SLC22A5,SLC22A4
rs200838,rs11957350,2.078e-11,1.68122977346278e-05,SLC22A5,SLC22A4
rs200838,rs1859085,9.826e-11,7.94983818770227e-05,SLC22A5,SLC22A4
rs2070722,rs10060025,5.08600000000001e-09,0.00411488673139159,SLC22A5,SLC22A4
rs2189691,rs12488468,2.411e-08,0.0195064724919094,MST1R,MST1
rs2189691,rs12488468,2.411e-08,0.0195064724919094,HYAL3,HYAL1
rs2189691,rs12488468,2.411e-08,0.0195064724919094,SPAM1,HYAL3
rs2245365,rs1060962,4.69400000000001e-08,0.0379773462783172,MST1R,MST1
rs2245365,rs1060962,4.69400000000001e-08,0.0379773462783172,HYAL3,HYAL1
rs2245365,rs12488468,2.532e-09,0.00204854368932039,MST1R,MST1
rs2245365,rs12488468,2.532e-09,0.00204854368932039,HYAL3,HYAL1
rs2267844,rs11720964,6.37600000000001e-11,5.15857605177994e-05,RHOA,PLXNB1
rs2267844,rs13064780,1.008e-10,8.15533980582524e-05,RHOA,PLXNB1
rs2276864,rs11707940,5.115e-08,0.0413834951456311,MST1R,MST1
rs2282749,rs12488468,5.12400000000001e-08,0.0414563106796117,MST1R,MST1
rs2282749,rs12488468,5.12400000000001e-08,0.0414563106796117,HYAL3,HYAL1
rs2526398,rs12488468,5.982e-13,4.83980582524272e-07,HYAL3,HYAL1
rs2526398,rs12488468,5.982e-13,4.83980582524272e-07,MST1R,MST1
rs2526398,rs12488468,5.982e-13,4.83980582524272e-07,SPAM1,HYAL3
rs273914,rs11957350,4.653e-09,0.00376456310679612,SLC22A5,SLC22A4
rs273914,rs162899,1.43499999999999e-09,0.00116100323624595,SLC22A5,SLC22A4
rs274550,rs12521097,2.679e-08,0.0216747572815534,SLC22A5,SLC22A4
rs274555,rs11957350,2.248e-08,0.0181877022653722,SLC22A5,SLC22A4
rs274555,rs162899,6.786e-10,0.000549029126213592,SLC22A5,SLC22A4
rs34522271,rs11707940,5.67e-09,0.0045873786407767,MST1R,MST1
rs3774749,rs12488468,1.135e-10,9.18284789644013e-05,MST1R,MST1
rs3774749,rs12488468,1.135e-10,9.18284789644013e-05,HYAL3,HYAL1
rs381870,rs10076701,1.193e-08,0.00965210355987055,SLC22A5,SLC22A4
