SNP_1,SNP_2,pvalue_uncorrected_MT,pvalue_corrected_MT,gene1,gene2
rs11130186,rs1060962,5.532e-10,0.00557211925866237,IP6K2,IP6K1
rs11130218,rs1060962,1.059e-09,0.0106668009669621,MST1R,MST1
rs11130218,rs1060962,1.059e-09,0.0106668009669621,IP6K2,IP6K1
rs11957350,rs11950562,1.412e-10,0.00142224012892828,SLC22A5,SLC22A4
rs11957350,rs11950562,1.412e-10,0.00142224012892828,IL4,IL13
rs12488468,rs1005678,1.339e-12,1.34871071716358e-05,MST1R,MST1
rs12488468,rs1005678,1.339e-12,1.34871071716358e-05,SPAM1,HYAL3
rs12488468,rs1005678,1.339e-12,1.34871071716358e-05,HYAL3,HYAL1
rs12488468,rs1005678,1.339e-12,1.34871071716358e-05,SEMA3F,SEMA3B
rs12488468,rs1005678,1.339e-12,1.34871071716358e-05,HYAL3,HYAL2
rs12488468,rs11130218,5.212e-10,0.00524979854955681,MST1R,MST1
rs12488468,rs11130228,3.093e-09,0.0311543110394843,MST1R,MST1
rs12488468,rs11130228,3.093e-09,0.0311543110394843,HYAL3,HYAL1
rs12488468,rs11712056,6.544e-10,0.0065914585012087,MST1R,MST1
rs12488468,rs11714286,2.203e-10,0.00221897663174859,MST1R,MST1
rs12521097,rs11957350,7.277e-10,0.00732977437550363,SLC22A5,SLC22A4
rs13100903,rs12488468,9.829e-10,0.00990028203062047,MST1R,MST1
rs162899,rs10076701,3.996e-12,4.02497985495568e-05,SLC22A5,SLC22A4
rs162899,rs10076701,3.996e-12,4.02497985495568e-05,IL5,CSF2
rs162899,rs12521097,1.772e-12,1.78485092667204e-05,SLC22A5,SLC22A4
rs162899,rs12521097,1.772e-12,1.78485092667204e-05,IL5,CSF2
rs17401735,rs10799592,3.584e-09,0.0360999194198227,PLA2G5,PLA2G2C
rs1859085,rs11950562,3.669e-10,0.00369560838033844,SLC22A5,SLC22A4
rs1859085,rs11950562,3.669e-10,0.00369560838033844,IL4,IL13
rs1859085,rs12521097,8.024e-10,0.00808219178082192,SLC22A5,SLC22A4
rs200838,rs11957350,2.078e-11,0.000209307010475423,SLC22A5,SLC22A4
rs200838,rs11957350,2.078e-11,0.000209307010475423,IL4,IL13
rs200838,rs1859085,9.826e-11,0.00098972602739726,SLC22A5,SLC22A4
rs200838,rs1859085,9.826e-11,0.00098972602739726,IL4,IL13
rs2245365,rs12488468,2.532e-09,0.0255036261079774,MST1R,MST1
rs2245365,rs12488468,2.532e-09,0.0255036261079774,HYAL3,HYAL1
rs2267844,rs11720964,6.376e-11,0.000642224012892828,RHOA,PLXNB1
rs2267844,rs13064780,1.008e-10,0.00101531023368251,RHOA,PLXNB1
rs2362452,rs11720964,1.655e-09,0.0166700241740532,RHOA,PLXNB1
rs2526398,rs12488468,5.982e-13,6.02538275584206e-06,MST1R,MST1
rs2526398,rs12488468,5.982e-13,6.02538275584206e-06,HYAL3,HYAL1
rs2526398,rs12488468,5.982e-13,6.02538275584206e-06,SPAM1,HYAL3
rs273914,rs11957350,4.65300000000001e-09,0.0468674456083804,SLC22A5,SLC22A4
rs273914,rs11957350,4.65300000000001e-09,0.0468674456083804,IL4,IL13
rs273914,rs162899,1.435e-09,0.0144540692989525,SLC22A5,SLC22A4
rs273914,rs162899,1.435e-09,0.0144540692989525,IL4,IL13
rs273914,rs162899,1.435e-09,0.0144540692989525,IL5,CSF2
rs274555,rs162899,6.786e-10,0.00683521353746978,SLC22A5,SLC22A4
rs274555,rs162899,6.786e-10,0.00683521353746978,IL4,IL13
rs274555,rs162899,6.786e-10,0.00683521353746978,IL5,CSF2
rs3767218,rs10917560,1.277e-09,0.0128626107977438,PLA2G2E,PLA2G2C
rs3774749,rs12488468,1.135e-10,0.00114323126510878,MST1R,MST1
rs3774749,rs12488468,1.135e-10,0.00114323126510878,SEMA3F,SEMA3B
rs3774749,rs12488468,1.135e-10,0.00114323126510878,HYAL3,HYAL1
rs3774749,rs12488468,1.135e-10,0.00114323126510878,HYAL3,HYAL2
rs4855852,rs11130186,5.536e-10,0.00557614826752619,IP6K2,IP6K1
rs4855852,rs11130218,8.16e-10,0.00821917808219178,IP6K2,IP6K1
rs4855852,rs11130218,8.16e-10,0.00821917808219178,MST1R,MST1
rs4858795,rs11720964,2.732e-11,0.000275181305398872,RHOA,PLXNB1
rs4858795,rs13064780,2.159e-10,0.00217465753424658,RHOA,PLXNB1
rs6442124,rs11720964,5.158e-11,0.000519540692989525,RHOA,PLXNB1
rs6687015,rs17351243,2.811e-09,0.0283138597904915,IL20,IL19
rs6687015,rs6667202,1.272e-10,0.0012812248186946,IL20,IL19
rs6897597,rs10076701,2.361e-09,0.0237812248186946,IL5,CSF2
rs6897597,rs10076701,2.361e-09,0.0237812248186946,SLC22A5,SLC22A4
rs6897597,rs10076701,2.361e-09,0.0237812248186946,IL4,IL13
rs6897597,rs12521097,7.479e-11,0.000753323932312651,SLC22A5,SLC22A4
rs6897597,rs12521097,7.479e-11,0.000753323932312651,IL5,CSF2
rs6897597,rs12521097,7.479e-11,0.000753323932312651,IL4,IL13
rs6897597,rs273914,1.409e-09,0.0141921837228042,SLC22A5,SLC22A4
rs6897597,rs273914,1.409e-09,0.0141921837228042,IL4,IL13
rs6897597,rs273914,1.409e-09,0.0141921837228042,IL5,CSF2
rs6897597,rs274555,2.576e-10,0.00259468170829976,IL4,IL13
rs6897597,rs274555,2.576e-10,0.00259468170829976,SLC22A5,SLC22A4
rs6897597,rs274555,2.576e-10,0.00259468170829976,IL5,CSF2
rs695238,rs1060962,3.03e-09,0.0305197421434327,MST1R,MST1
rs695238,rs1060962,3.03e-09,0.0305197421434327,IP6K2,IP6K1
rs695238,rs12488468,1.073e-09,0.0108078162771958,MST1R,MST1
rs695238,rs4855852,2.141e-09,0.0215652699435939,MST1R,MST1
rs695238,rs4855852,2.141e-09,0.0215652699435939,IP6K2,IP6K1
rs7431710,rs2267844,3.092e-10,0.00311442385173247,RHOA,PLXNB1
rs7431710,rs4858795,4.668e-10,0.00470185334407736,RHOA,PLXNB1
rs7644148,rs1060962,5.68500000000001e-10,0.00572622884770347,IP6K2,IP6K1
rs7644148,rs4855852,7.051e-10,0.00710213537469782,IP6K2,IP6K1
