SNP1,SNP2,PRS_adj_pval
rs10076701,rs10060025,0.00350003477437635
rs11130186,rs1060962,0.000297793891544625
rs11130218,rs1060962,1.16795143643378e-08
rs11130228,rs1060962,8.48142471746519e-09
rs11957350,rs10076701,0.275417579077253
rs11957350,rs11950562,0.181558491295366
rs12488468,rs1005678,3.0644053131686e-05
rs12488468,rs11130218,0.0209705644876178
rs12488468,rs11130228,0.00143381019146384
rs12488468,rs11712056,0.00355781666851582
rs12488468,rs11714286,0.166511984979625
rs12521097,rs11957350,0.113439953837391
rs13100903,rs12488468,0.177492898909952
rs162889,rs11242110,0.307912081929314
rs162899,rs10076701,0.180424370005783
rs162899,rs12521097,0.46958040648382
rs1859085,rs11950562,0.424124594241311
rs1859085,rs12521097,0.864044728370589
rs200838,rs11957350,0.105753454220393
rs200838,rs1859085,0.260079563739302
rs2070722,rs10060025,0.334595844151508
rs2189691,rs12488468,0.908152491893021
rs2245365,rs1060962,4.9632273352675e-09
rs2245365,rs12488468,0.00207406138923643
rs2267844,rs11720964,1.79757135274317e-08
rs2267844,rs13064780,2.84811758292538e-11
rs2276864,rs11707940,0.00317418022087221
rs2282749,rs12488468,0.00643394286007225
rs2526398,rs12488468,0.158372824367027
rs273914,rs11957350,0.135891645581492
rs273914,rs162899,0.340874091405778
rs274550,rs12521097,0.902715089936507
rs274555,rs11957350,0.224031473234877
rs274555,rs162899,0.325495863964757
rs34522271,rs11707940,0.00523256607646702
rs3774749,rs12488468,0.000154539261330099
rs381870,rs10076701,0.00813394879526144
rs381870,rs1859085,0.152073602247905
rs381870,rs2070722,0.864362105408379
rs381870,rs273914,0.0321310524214509
rs4855852,rs11130186,0.000193382071403431
rs4855852,rs11130218,1.81289175243298e-08
rs4855852,rs11130228,1.28006094864108e-08
rs4855852,rs2245365,6.10223736750405e-09
rs4858795,rs11720964,3.14302031017107e-17
rs4858795,rs13064780,3.34106461248244e-15
rs6442124,rs11720964,1.78218690830223e-11
rs6442124,rs13064780,3.01743842167637e-12
rs6897597,rs10072700,0.55537416544774
rs6897597,rs10076701,0.0110822780656456
rs6897597,rs11950562,0.249664170341277
rs6897597,rs12521097,0.742683838796665
rs6897597,rs200838,0.211207638112777
rs6897597,rs273914,0.128278107381186
rs6897597,rs274555,0.200724161463347
rs695238,rs1060962,3.18529489504417e-09
rs695238,rs12488468,0.0115087432160048
rs695238,rs4855852,6.21635834080243e-09
rs7431710,rs2267844,2.21602687657375e-15
rs7431710,rs4858795,1.32682623548666e-21
rs7644148,rs1060962,0.000181485098841007
rs7644148,rs4855852,0.000128387886801564
rs7733502,rs11957350,0.578165515530165
rs873985,rs6446298,0.0198211344193951
